D:\Sem 8\biaxial-rnn-music-composition-master\model.py:370: UserWarning: Updating an `OrderedUpdates` with a non-ordered dictionary with 2+ elements could make your code non-deterministic
  self.walk_input: next_input
D:\Sem 8\biaxial-rnn-music-composition-master\model.py:373: UserWarning: Updating an `OrderedUpdates` with a non-ordered dictionary with 2+ elements could make your code non-deterministic
  updates.update({hidden:newstate for hidden, newstate, layer in zip(self.walk_hiddens, new_states, self.time_model.layers) if has_hidden(layer)})
epoch 0, error=61063.859375
epoch 100, error=11106.4316406
epoch 200, error=6914.44873047
epoch 300, error=3781.05249023
epoch 400, error=3182.83325195
epoch 500, error=2446.76123047
epoch 600, error=2500.61914062
epoch 700, error=2364.31811523
epoch 800, error=1968.32421875
epoch 900, error=1677.10302734
epoch 1000, error=1534.52783203
epoch 1100, error=1523.53027344
epoch 1200, error=1371.16967773
epoch 1300, error=1437.00512695
epoch 1400, error=1342.93347168
epoch 1500, error=1404.03198242
epoch 1600, error=1260.37072754
epoch 1700, error=1252.85119629
epoch 1800, error=1097.04040527
epoch 1900, error=1329.22473145
epoch 2000, error=1201.82141113
epoch 2100, error=1160.92626953
epoch 2200, error=1155.45849609
epoch 2300, error=1010.47875977
epoch 2400, error=1319.38476562
epoch 2500, error=963.903564453
epoch 2600, error=926.703369141
epoch 2700, error=1047.65917969
epoch 2800, error=979.766052246
epoch 2900, error=928.646850586
epoch 3000, error=851.348693848
epoch 3100, error=896.683349609
epoch 3200, error=842.86706543
epoch 3300, error=794.305297852
epoch 3400, error=818.516784668
epoch 3500, error=802.196838379
epoch 3600, error=857.183898926
epoch 3700, error=851.279907227
epoch 3800, error=837.161865234
epoch 3900, error=710.744018555
epoch 4000, error=695.42364502
epoch 4100, error=681.03314209
epoch 4200, error=723.593811035
epoch 4300, error=637.346740723
epoch 4400, error=817.635742188
epoch 4500, error=633.650146484
epoch 4600, error=926.875427246
epoch 4700, error=627.289123535
epoch 4800, error=623.561645508
epoch 4900, error=631.889892578
epoch 5000, error=885.558105469
epoch 5100, error=545.071533203
epoch 5200, error=619.995849609
epoch 5300, error=570.178894043
epoch 5400, error=605.743713379
epoch 5500, error=526.590270996
epoch 5600, error=569.932434082
epoch 5700, error=522.126647949
epoch 5800, error=659.04296875
epoch 5900, error=512.609741211
epoch 6000, error=464.580688477
epoch 6100, error=555.013305664
epoch 6200, error=555.842651367
epoch 6300, error=532.948791504
epoch 6400, error=490.087585449
epoch 6500, error=464.625274658
epoch 6600, error=521.851257324
epoch 6700, error=562.040527344
epoch 6800, error=571.251159668
epoch 6900, error=387.934295654
epoch 7000, error=386.040222168
epoch 7100, error=455.175964355
epoch 7200, error=379.718994141
epoch 7300, error=454.517242432
epoch 7400, error=455.966094971
epoch 7500, error=495.111053467
epoch 7600, error=391.856964111
epoch 7700, error=439.532592773
epoch 7800, error=898.829711914
epoch 7900, error=422.201782227
epoch 8000, error=412.725311279
epoch 8100, error=411.13671875
epoch 8200, error=362.943969727
epoch 8300, error=394.920196533
epoch 8400, error=338.528930664
epoch 8500, error=386.283935547
epoch 8600, error=363.220031738
epoch 8700, error=391.070587158
epoch 8800, error=394.008789062
epoch 8900, error=389.280853271
epoch 9000, error=333.387481689
epoch 9100, error=603.231079102
epoch 9200, error=378.257019043
epoch 9300, error=354.222503662
epoch 9400, error=316.027404785
epoch 9500, error=401.019958496
epoch 9600, error=360.868164062
epoch 9700, error=337.927032471
epoch 9800, error=347.106323242
epoch 9900, error=304.413787842
